    X1           X2
  0.61724268   0.36082782
  0.26169712   0.42962668
  0.31862075   0.44732796
  0.46012753   0.39449495
  0.30319287   0.26502464
  0.65574815   0.28803653
  0.33423663   0.52275844
  0.42222387   0.29387112
  0.39779208   0.43387451
  0.43562386   0.28444902
  0.37931995   0.61692896
  0.37474146   0.38099456
  0.48565854   0.30205795
  0.27008404   0.32364970
  0.30027520   0.32909325
  0.26459812   0.39746442
  0.34200127   0.38259698
  0.25127373   0.41672944
  0.22053330   0.35688697
  0.72366746   0.36689059
  0.21278252   0.46652831
  0.31615297   0.41671581
  0.42843546   0.62356957
  0.38537457   0.32181096
  0.69266346   0.82228345
  0.95123688   0.88426036
  0.85859089   1.04528512
  0.78644204   0.66302137
  0.56318470   0.97631299
  0.67067150   0.56642833
  0.94358266   0.81528476
  0.92625923   0.55487197
  0.62173948   0.56308992
  1.13861719   1.00414011
  0.87160194   0.49537409
  0.80420692   0.96717495
  1.09659256   0.98253409
  0.88497988   0.93041627
  0.88140016   0.91814684
  0.73466405   0.92590676
  0.79987950   1.05780624
  0.61322825   0.94393459
  0.86407724   1.01833865
  0.90859485   0.82348760
  1.09854423   1.26648072
  0.77441064   0.97300427
  0.95144662   0.64679673
  0.41047886   0.25322065
  0.17333311   0.18071883
  0.16014109   0.30650476
  0.39502947   0.14222322
  0.25721594   0.23244871
  0.24491631   0.31464879
  0.50071819   0.36667760
  0.31388453   0.41021778
  0.17214069   0.33495225
  0.25088908   0.26542279
  0.51979149   0.17930039
  0.29282729   0.41792062
  0.47291455   0.23723403
  0.33065850   0.35107750
  0.38422320   0.25934703
  0.26792382   0.30471600
  0.18190242   0.42203028
  0.25622065   0.26673809
  0.37233518   0.28101698
  0.26607531   0.30649417
  0.20244306   0.31568433
  0.21806032   0.35423949
  0.14964523   0.15020142
  0.23829876   0.48213758
  0.49575969   0.13310720
  0.36048680   0.29038800
  0.27002105   0.20505843
  0.06277150   0.33995816
 -0.02249463   0.21816112
  0.21484094   0.20334277
  0.15962476   0.18640105
  0.50799211   0.05258846
  0.14911187  -0.03983892
  0.02195535   0.47483320
  0.23859794   0.02427674
  0.07078353   0.26189115
  0.10046256   0.39399524
  0.30067152   0.13034648
  0.17668603   0.29267135
  0.07229209   0.25816995
  0.19975438   0.04750712
  0.28335252   0.16535339
  0.28143202   0.15317393
  0.41326139   0.06815702
  0.08952945   0.25965565
  0.26682470   0.36759823
  0.03354286   0.33556166
  0.12327516   0.41389124
  0.36571746   0.09914417
  0.39510005   0.22980656
  0.41254325   0.27792691
  0.16566032   0.27668975
 -0.65633394   0.03141382
  0.06553805  -0.11915392
  0.13545059   0.05337491
  0.10120576   0.02490343
  0.03315448   0.24094314
 -0.35305184  -0.19939515
  0.18163361   0.44830174
  0.18471563   0.06402939
 -0.14227870   0.29727954
  0.62004907   0.35345364
 -0.06323987  -0.07618183
 -0.04546429   0.26124869
  0.19463178   0.20501213
  0.36614713   0.18307162
 -0.11975556   0.03915475
 -0.22879093   0.49097003
 -0.06677009   0.03516385
  0.00799482  -0.04722976
  0.30884319   0.02318748
  0.20929754   0.26062098
  0.12902038   0.20259839
 -0.19880700   0.20578647
  0.23718127  -0.28342829
  1.03839478   0.65874708
  0.97512952   0.82553963
  0.54200693   0.48718024
  1.01723824   0.63247100
  0.51892096   1.00329262
  0.84637947   0.96208158
  0.87260285   0.61931983
  0.99946674   0.88447649
  0.43780013   0.77731007
  0.81978978   1.08369522
  1.04594531   0.21974921
  0.21732884   0.92075848
  0.80593181   0.49452035
  0.98818837   0.60293458
  0.77323499   0.71364143
  1.17031596   1.14623811
  1.08830816   0.85610218
  0.96199745   0.75677965
  0.70475066   0.72931373
  0.98882300   0.95448111
  0.64176010   0.69258679
  0.71965504   1.03330217
  0.98687378   0.53749616
  0.71927139   0.58206416
  0.77965013   0.47979740
  0.73244460   0.92089524
  0.43163860   0.46077264
  0.37310374   0.63843433
